id,formal,url_pc,address,tel,post,geocode,libkey,libid,systemid,city,created_at,updated_at
1641,枚方市立香里ヶ丘図書館,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市香里ケ丘4-2-1,050-7102-3111,573-0084,"135.651399,34.790591",香里ケ丘図,103021,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:19 UTC
1642,枚方市立図書館香里園分室,https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html,大阪府枚方市香里園町12-97 香里会館2階,072-831-6080,573-0086,"135.635093,34.786384",香里園分室,103022,,枚方市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:19 UTC
1643,茨木市立移動図書館「ともしび号」,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市畑田町1番51号,072-627-4129,567-0028,"135.565574,34.8269124",BM,103039,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:20 UTC
1644,茨木市立おにクルぶっくぱーく,https://www.onikuru.jp/onikuru-book-park/,大阪府茨木市駅前三丁目9-45,072-622-2476,567-0888,"135.5694108,34.8160961",おにクル,103024,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:20 UTC
1645,茨木市立中央図書館,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市畑田町1番51号,072-627-4129,567-0028,"135.565496,34.826917",中央,103023,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:20 UTC
1646,茨木市立図書館大池分室,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市舟木町11番35号 大池コミュニティセンター内,072-634-2530,567-0828,"135.5784788,34.8138195",大池,103025,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:20 UTC
1647,茨木市立図書館天王分室,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市天王二丁目13番71号,072-625-7007,567-0876,"135.561979,34.800483",天王,103026,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:20 UTC
1648,茨木市立図書館太田分室,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市太田三丁目6番18号,072-623-9076,567-0018,"135.578480,34.842759",太田,103027,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:20 UTC
1649,茨木市立図書館山手台分室,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市山手台三丁目32番2号,072-649-1039,567-0009,"135.551025,34.8622247",山手台,103029,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:20 UTC
1650,茨木市立庄栄図書館,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市庄2丁目26番12号,072-620-1171,567-0806,"135.582049,34.826612",庄栄,103031,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:21 UTC
1651,茨木市立図書館彩都西分室,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市彩都あさぎ一丁目3番4号,072-641-2175,567-0085,"135.523627,34.853120",彩都西,111650,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:21 UTC
1652,茨木市立図書館東分室,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市舟木町11番35号,072-633-8071,567-0828,"135.5784788,34.8138195",東,103032,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:21 UTC
1653,茨木市立水尾図書館,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市水尾3丁目3番18号,072-637-4416,567-0891,"135.5751794,34.8042008",水尾,103034,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:21 UTC
1654,茨木市立図書館玉島分室,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市平田二丁目25番9号 玉島公民館,072-633-1020,567-0845,"135.590003,34.8043318",玉島,103035,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:21 UTC
1655,茨木市立図書館白川分室,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市鮎川一丁目8番17号 白川公民館内,072-632-7870,567-0831,"135.5933968,34.8164724",白川,103033,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:21 UTC
1656,茨木市立穂積図書館,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市松ヶ本町8番30号,072-620-1056,567-0033,"135.559315,34.810753",穂積,103037,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:22 UTC
1657,茨木市立図書館豊川分室,http://www.lib.ibaraki.osaka.jp/,大阪府茨木市藤の里二丁目16番8号,072-641-8911,567-0054,"135.5371041,34.836744",豊川,103038,,茨木市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:22 UTC
1658,池田市中央公民館図書コーナー,http://lib-ikedacity.jp/,大阪府池田市菅原町1丁目1番 池田市中央公民館1F,072-754-6312,563-0055,"135.4278523,34.8218507",公民館,113420,,池田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:22 UTC
1659,池田市立図書館,http://lib-ikedacity.jp/,大阪府池田市呉服町1-1 サンシティ池田3階,072-751-2508,563-0048,"135.4250215,34.8214099",池田市立図書館,103041,,池田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:22 UTC
1660,池田市立石橋図書館,http://lib-ikedacity.jp/,大阪府池田市石橋1-23-6 ツナガリエ石橋内,072-760-2383,563-0032,"135.4431006,34.8063608",石橋図書館,103040,,池田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:22 UTC
1661,池田市移動図書館「さつき号」,http://lib-ikedacity.jp/,大阪府池田市五月丘1丁目10-12,072-751-2508,563-0029,"135.4358987,34.8237522",移動図書館,103042,,池田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:22 UTC
1662,和泉市立シティプラザ図書館,http://www.library.izumi.osaka.jp/,大阪府和泉市いぶき野五丁目4番7号,0725-57-6670,594-0041,"135.456820,34.458261",シティプラザ,103043,,和泉市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:22 UTC
1663,和泉市立人権文化センター図書室「にじのとしょかん」,http://www.library.izumi.osaka.jp/,大阪府和泉市伯太町六丁目1番20号 人権文化センター「ゆう・ゆうプラザ」内,0725-47-1040,594-0023,"135.433403,34.497184",人権文化C,103044,,和泉市,2025-02-28 10:02:14 UTC,2025-03-02 08:31:04 UTC
1664,和泉市立北部リージョンセンター図書室,http://www.library.izumi.osaka.jp/,大阪府和泉市太町552,0725-90-7512,594-0003,"135.447276,34.506616",北部RC,116069,,和泉市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:23 UTC
1665,和泉市立南部リージョンセンター図書室,http://www.library.izumi.osaka.jp/,大阪府和泉市仏並町398-1,0725-92-3811,594-1136,"135.4830003,34.423154",南部RC,103045,,和泉市,2025-02-28 10:02:14 UTC,2025-03-02 08:31:04 UTC
1666,和泉市立和泉図書館,http://www.library.izumi.osaka.jp/,大阪府和泉市府中町一丁目20番1号,0725-44-3071,594-0071,"135.423866,34.486642",和泉図書館,103046,,和泉市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:26 UTC
1667,和泉市立図書館自動車文庫「くすのき号」,http://www.library.izumi.osaka.jp/,大阪府和泉市府中町一丁目20番1号,0725-44-3071,594-0071,"135.4230241,34.4866682",自動車文庫,103047,,和泉市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:23 UTC
1668,泉佐野市立中央図書館,https://library.city.izumisano.lg.jp/,大阪府泉佐野市市場東一丁目295-1,072-469-7130,598-0005,"135.327913,34.404287",中央図書館,113190,,泉佐野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:23 UTC
1669,泉佐野市佐野公民館図書室,https://library.city.izumisano.lg.jp/,大阪府泉佐野市大西一丁目23-9,072-463-6035,598-0043,"135.3125634,34.4099083",佐野公民館図書室,113189,,泉佐野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:23 UTC
1670,泉佐野市立北部公民館図書室,https://library.city.izumisano.lg.jp/,大阪府泉佐野市下瓦屋222-1,072-469-5171,598-0062,"135.3425024,34.4175664",北部公民館図書室,120806,,泉佐野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:23 UTC
1671,泉佐野市日根野公民館図書室,https://library.city.izumisano.lg.jp/topic/hineno_open.html,大阪府泉佐野市日根野1660-1,072-468-0808,598-0021,"135.3364689,34.3796375",日根野公民館図書室,122104,,泉佐野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:23 UTC
1672,泉佐野市移動図書館「ルリビタキ」,https://library.city.izumisano.lg.jp/,大阪府泉佐野市市場東一丁目295-1,072-469-7130,598-0005,"135.3278374,34.4047118",移動図書館,113188,,泉佐野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:23 UTC
1673,泉佐野市長南公民館図書室,https://library.city.izumisano.lg.jp/,大阪府泉佐野市南中樫井1番地,072-465-1101,598-0035,"135.303963,34.385619",長南公民館図書室,113187,,泉佐野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1674,門真市立図書館門真市民プラザ分館,https://www.lics-saas.nexs-service.jp/kadoma/,大阪府門真市大字北島546番地,072-887-6648,571-0025,"135.6010866,34.7274079",プラザ分館,103048,,門真市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1675,門真市立図書館,https://www.lics-saas.nexs-service.jp/kadoma/,大阪府門真市新橋町3-4-101,06-6908-2828,571-0048,"135.5848351,34.737687",本館,103049,,門真市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1676,貝塚市民図書館,https://www.kaizuka-library.osaka.jp/TOSHOW/asp/index.aspx,大阪府貝塚市畠中1丁目12番1号,0724-33-7200,597-0072,"135.3598669,34.4390281",市民図書館,103050,,貝塚市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1677,貝塚市民図書館移動図書館「ひまわり号」,https://www.kaizuka-library.osaka.jp/TOSHOW/asp/index.aspx,大阪府貝塚市畠中1丁目12-1,0724-33-7200,597-0072,"135.3598696,34.4390253",移動図書館,119280,,貝塚市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1678,河南町立図書館,https://www.town.kanan.osaka.jp/soshiki/kyoikuiinkaijimukyoku/chuokominkan/gyomuannai/1/1/1643.html,大阪府南河内郡河南町白木1287-1,0721-93-2500,585-0014,"135.630187,34.490445",図書館,104649,,南河内郡河南町,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1679,河南町立図書館大宝分室,https://www.town.kanan.osaka.jp/soshiki/kyoikuiinkaijimukyoku/chuokominkan/gyomuannai/1/1/1643.html,大阪府南河内郡河南町大宝1丁目2番4号 大宝公民館内,0721-93-6580,585-0005,"135.6324445,34.5047105",大宝分室,104857,,南河内郡河南町,2025-02-28 10:02:14 UTC,2025-03-02 08:31:04 UTC
1680,柏原市立国分図書館,https://www.lics-saas.nexs-service.jp/kashiwara/,大阪府柏原市田辺1-3-7,072-975-1212,582-0024,"135.637978,34.5629125",国分館,111078,,柏原市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1681,柏原市立柏原図書館,https://www.lics-saas.nexs-service.jp/kashiwara/,大阪府柏原市上市4-1-27,072-971-0335,582-0007,"135.6258228,34.5870045",柏原館,111077,,柏原市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1682,交野市立第1児童センターこども図書室,https://www.katanotoshokan.jp/,大阪府交野市幾野2-6-1,072-893-1144,576-0054,"135.6802672,34.7945902",こども図書,103055,,交野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1683,交野市立倉治図書館,https://www.katanotoshokan.jp/,大阪府交野市倉治6-9-20,072-891-1825,576-0051,"135.690023,34.796540",倉治図書館,103053,,交野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1684,交野市立星田会館図書室,https://www.katanotoshokan.jp/,大阪府交野市星田3-4-3,072-895-2103,576-0016,"135.6712913,34.7654051",星田図書室,103056,,交野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:24 UTC
1685,交野市立図書館自動車文庫「ブンブン号」,https://www.katanotoshokan.jp/,大阪府交野市倉治6-9-20,072-891-1825,576-0051,"135.6900163,34.7965514",自動車文庫,114877,,交野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:25 UTC
1686,交野市立青年の家図書室,https://www.katanotoshokan.jp/,大阪府交野市私部2-29-1 ,072-893-4881,576-0052,"135.678044,34.785015",青年の家,103057,,交野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:25 UTC
1687,河内長野市自動車文庫「きく1号」,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市昭栄町7番1号,0721-52-6933,586-0025,"135.5601928,34.4543292",BM,103066,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:25 UTC
1688,河内長野市三日市公民館図書室,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市三日市町288-1,0721-62-6155,586-0048,"135.5672121,34.4388032",三日市,103058,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:25 UTC
1689,河内長野市加賀田公民館図書室,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市加賀田617-4,0721-62-2116,586-0071,"135.5641263,34.4231106",加賀田,103059,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:25 UTC
1690,河内長野市千代田公民館図書室,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市木戸町369-3,0721-55-1125,586-0001,"135.567027,34.466923",千代田,103060,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:25 UTC
1691,河内長野市南花台公民館図書室,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市南花台8-4-1,0721-63-1131,586-0077,"135.5622209,34.4345065",南花台,103061,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:25 UTC
1692,河内長野市立図書館,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市昭栄町7番1号,0721-52-6933,586-0025,"135.560429,34.454380",図書館,103065,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:25 UTC
1693,河内長野市天見公民館図書室,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市岩瀬1244,0721-63-4074,586-0061,"135.5919653,34.4124368",天見公民館,103062,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:25 UTC
1694,河内長野市天野公民館図書室,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市天野町1520-5,0721-55-6191,586-0086,"135.5353733,34.4379888",天野公民館,103063,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:26 UTC
1695,河内長野市川上公民館図書室,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市寺元501,0721-65-1612,586-0053,"135.5984285,34.4354177",川上公民館,103064,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:26 UTC
1696,河内長野市高向公民館図書室,https://www.city.kawachinagano.lg.jp/site/tosho/,大阪府河内長野市高向515-3,0721-54-4548,586-0036,"135.5510163,34.4384586",高向公民館,103067,,河内長野市,2025-02-28 10:02:14 UTC,2025-03-02 08:31:04 UTC
1697,岸和田市立移動図書館「なかよし号」,https://www.city.kishiwada.osaka.jp/site/toshokan/,大阪府岸和田市岸城町1番18号,072-422-2142,596-0073,"135.3742261,34.4592538",BM,103072,,岸和田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:30 UTC
1698,岸和田市立八木図書館,https://www.city.kishiwada.osaka.jp/site/toshokan/,大阪府岸和田市池尻町339-2 八木市民センター内,072-443-6849,596-0813,"135.412651,34.462985",八木,113078,,岸和田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:26 UTC
1699,岸和田市女性センター図書室,https://www.city.kishiwada.osaka.jp/site/toshokan/,大阪府岸和田市加守町4丁目28番25号,072-441-2535,596-0042,"135.3923102,34.4710863",女性センタ,112084,,岸和田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:26 UTC
1700,岸和田市立山直図書館,https://www.city.kishiwada.osaka.jp/site/toshokan/,大阪府岸和田市三田町715-1 山直市民センター内,072-441-7575,596-0808,"135.4305958,34.4520311",山直,103068,,岸和田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:26 UTC
1701,岸和田市立旭図書館,https://www.city.kishiwada.osaka.jp/site/toshokan/,大阪府岸和田市土生町4丁目3-1 リハーブ3階 東岸和田市民センター内,072-428-6200,596-0825,"135.385917,34.4486638",旭,103069,,岸和田市,2025-02-28 10:02:14 UTC,2025-03-02 08:31:04 UTC
1702,岸和田市立春木図書館,https://www.city.kishiwada.osaka.jp/site/toshokan/,大阪府岸和田市春木若松町21-1 春木市民センター内,072-436-0679,596-0006,"135.392421,34.478736",春木,103070,,岸和田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:26 UTC
1703,岸和田市立図書館,https://www.city.kishiwada.osaka.jp/site/toshokan/,大阪府岸和田市岸城町1番18号,072-422-2142,596-0073,"135.3742261,34.4592538",本館,103071,,岸和田市,2025-02-28 10:02:14 UTC,2025-03-02 08:30:27 UTC
