libkey,formal,address,tel,post,geocode,url_pc
,東大阪市立永和移動図書館,大阪府東大阪市大蓮北4-3-25,06-6728-0202,577-0054,"135.5719738,34.6362558",http://www.lib-higashiosaka.jp/
,東大阪市立花園図書館,大阪府東大阪市吉田4-7-20,072-965-7700,578-0924,"135.6242048,34.6705645",http://www.lib-higashiosaka.jp/
,枚方市自動車文庫「ひなぎく号」,大阪府枚方市車塚2丁目1-1,050-7105-8115,573-1159,"135.6716337,34.8334635",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立さだ図書館,大阪府枚方市北中振3-27-10 さだ生涯学習市民センター1階,050-7102-3117,573-0064,"135.6285962,34.7970308",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立中央図書館,大阪府枚方市車塚2丁目1-1,050-7105-8141,573-1159,"135.671631,34.833413",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立図書館宮之阪分室,大阪府枚方市宮之阪1-9-49,072-848-2421,573-0022,"135.656844,34.8133153",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立図書館山田分室,大阪府枚方市都丘町6-9,072-840-1921,573-1165,"135.6694009,34.8223508",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立市駅前図書館,大阪府枚方市岡東町19-1 ステーションヒル枚方5F,072-841-1103,573-0032,"135.649620,34.816921",https://www.city.hirakata.osaka.jp/0000050167.html
,枚方市立御殿山図書館,大阪府枚方市御殿山町10-16 御殿山生涯学習美術センター内,050-7102-3119,573-1182,"135.6567269,34.8290722",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立図書館村野分室,大阪府枚方市村野西町5-1 サプリ村野内,072-849-2416,573-0042,"135.6599496,34.8037552",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立図書館枚方公園分室,大阪府枚方市伊加賀東町6-8 枚方公園青少年センター内,072-844-7773,573-0058,"135.637676,34.811166",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立楠葉図書館,大阪府枚方市楠葉並木2-29-5 楠葉生涯学習市民センター1階,050-7102-3113,573-1118,"135.6818905,34.8594943",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立図書館氷室分室,大阪府枚方市尊延寺3-1-47,072-859-2562,573-0112,"135.7272286,34.8033626",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立津田図書館,大阪府枚方市津田北町2-25-3 津田生涯学習市民センター2階,050-7102-3123,573-0121,"135.7032646,34.8096614",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立牧野図書館,大阪府枚方市宇山町4-5 牧野生涯学習市民センター1階,050-7102-3121,573-1143,"135.6689533,34.8429292",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立菅原図書館,大阪府枚方市長尾元町1-35-1,050-7102-3115,573-0163,"135.7088471,34.8237518",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立図書館藤阪分室,大阪府枚方市藤阪西町6-4,072-868-1987,573-0158,"135.7002675,34.819738",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立香里ヶ丘図書館,大阪府枚方市香里ケ丘4-2-1,050-7102-3111,573-0084,"135.651399,34.790591",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,枚方市立図書館香里園分室,大阪府枚方市香里園町12-97 香里会館2階,072-831-6080,573-0086,"135.635093,34.786384",https://www.city.hirakata.osaka.jp/soshiki/10-3-0-0-0_10.html
,茨木市立移動図書館「ともしび号」,大阪府茨木市畑田町1番51号,072-627-4129,567-0028,"135.565574,34.8269124",http://www.lib.ibaraki.osaka.jp/
,茨木市立おにクルぶっくぱーく,大阪府茨木市駅前三丁目9-45,072-622-2476,567-0888,"135.5694108,34.8160961",https://www.onikuru.jp/onikuru-book-park/
,茨木市立中央図書館,大阪府茨木市畑田町1番51号,072-627-4129,567-0028,"135.565496,34.826917",http://www.lib.ibaraki.osaka.jp/
,茨木市立図書館大池分室,大阪府茨木市舟木町11番35号 大池コミュニティセンター内,072-634-2530,567-0828,"135.5784788,34.8138195",http://www.lib.ibaraki.osaka.jp/
,茨木市立図書館天王分室,大阪府茨木市天王二丁目13番71号,072-625-7007,567-0876,"135.561979,34.800483",http://www.lib.ibaraki.osaka.jp/
,茨木市立図書館太田分室,大阪府茨木市太田三丁目6番18号,072-623-9076,567-0018,"135.578480,34.842759",http://www.lib.ibaraki.osaka.jp/
,茨木市立図書館山手台分室,大阪府茨木市山手台三丁目32番2号,072-649-1039,567-0009,"135.551025,34.8622247",http://www.lib.ibaraki.osaka.jp/
,茨木市立庄栄図書館,大阪府茨木市庄2丁目26番12号,072-620-1171,567-0806,"135.582049,34.826612",http://www.lib.ibaraki.osaka.jp/
,茨木市立図書館彩都西分室,大阪府茨木市彩都あさぎ一丁目3番4号,072-641-2175,567-0085,"135.523627,34.853120",http://www.lib.ibaraki.osaka.jp/
,茨木市立図書館東分室,大阪府茨木市舟木町11番35号,072-633-8071,567-0828,"135.5784788,34.8138195",http://www.lib.ibaraki.osaka.jp/
,茨木市立水尾図書館,大阪府茨木市水尾3丁目3番18号,072-637-4416,567-0891,"135.5751794,34.8042008",http://www.lib.ibaraki.osaka.jp/
,茨木市立図書館玉島分室,大阪府茨木市平田二丁目25番9号 玉島公民館,072-633-1020,567-0845,"135.590003,34.8043318",http://www.lib.ibaraki.osaka.jp/
,茨木市立図書館白川分室,大阪府茨木市鮎川一丁目8番17号 白川公民館内,072-632-7870,567-0831,"135.5933968,34.8164724",http://www.lib.ibaraki.osaka.jp/
,茨木市立穂積図書館,大阪府茨木市松ヶ本町8番30号,072-620-1056,567-0033,"135.559315,34.810753",http://www.lib.ibaraki.osaka.jp/
,茨木市立図書館豊川分室,大阪府茨木市藤の里二丁目16番8号,072-641-8911,567-0054,"135.5371041,34.836744",http://www.lib.ibaraki.osaka.jp/
,池田市中央公民館図書コーナー,大阪府池田市菅原町1丁目1番 池田市中央公民館1F,072-754-6312,563-0055,"135.4278523,34.8218507",http://lib-ikedacity.jp/
,池田市立図書館,大阪府池田市呉服町1-1 サンシティ池田3階,072-751-2508,563-0048,"135.4250215,34.8214099",http://lib-ikedacity.jp/
,池田市立石橋図書館,大阪府池田市石橋1-23-6 ツナガリエ石橋内,072-760-2383,563-0032,"135.4431006,34.8063608",http://lib-ikedacity.jp/
,池田市移動図書館「さつき号」,大阪府池田市五月丘1丁目10-12,072-751-2508,563-0029,"135.4358987,34.8237522",http://lib-ikedacity.jp/
,和泉市立シティプラザ図書館,大阪府和泉市いぶき野五丁目4番7号,0725-57-6670,594-0041,"135.456820,34.458261",http://www.library.izumi.osaka.jp/
,和泉市立人権文化センター図書室「にじのとしょかん」,大阪府和泉市伯太町六丁目1番20号 人権文化センター「ゆう・ゆうプラザ」内,0725-47-1040,594-0023,"135.433403,34.497184",http://www.library.izumi.osaka.jp/
,和泉市立北部リージョンセンター図書室,大阪府和泉市太町552,0725-90-7512,594-0003,"135.447276,34.506616",http://www.library.izumi.osaka.jp/
,和泉市立南部リージョンセンター図書室,大阪府和泉市仏並町398-1,0725-92-3811,594-1136,"135.4830003,34.423154",http://www.library.izumi.osaka.jp/
,和泉市立和泉図書館,大阪府和泉市府中町一丁目20番1号,0725-44-3071,594-0071,"135.423866,34.486642",http://www.library.izumi.osaka.jp/
,和泉市立図書館自動車文庫「くすのき号」,大阪府和泉市府中町一丁目20番1号,0725-44-3071,594-0071,"135.4230241,34.4866682",http://www.library.izumi.osaka.jp/
,泉佐野市立中央図書館,大阪府泉佐野市市場東一丁目295-1,072-469-7130,598-0005,"135.327913,34.404287",https://library.city.izumisano.lg.jp/
,泉佐野市佐野公民館図書室,大阪府泉佐野市大西一丁目23-9,072-463-6035,598-0043,"135.3125634,34.4099083",https://library.city.izumisano.lg.jp/
,泉佐野市立北部公民館図書室,大阪府泉佐野市下瓦屋222-1,072-469-5171,598-0062,"135.3425024,34.4175664",https://library.city.izumisano.lg.jp/
,泉佐野市日根野公民館図書室,大阪府泉佐野市日根野1660-1,072-468-0808,598-0021,"135.3364689,34.3796375",https://library.city.izumisano.lg.jp/topic/hineno_open.html
,泉佐野市移動図書館「ルリビタキ」,大阪府泉佐野市市場東一丁目295-1,072-469-7130,598-0005,"135.3278374,34.4047118",https://library.city.izumisano.lg.jp/
,泉佐野市長南公民館図書室,大阪府泉佐野市南中樫井1番地,072-465-1101,598-0035,"135.303963,34.385619",https://library.city.izumisano.lg.jp/
,門真市立図書館門真市民プラザ分館,大阪府門真市大字北島546番地,072-887-6648,571-0025,"135.6010866,34.7274079",https://www.lics-saas.nexs-service.jp/kadoma/
,門真市立図書館,大阪府門真市新橋町3-4-101,06-6908-2828,571-0048,"135.5848351,34.737687",https://www.lics-saas.nexs-service.jp/kadoma/
,貝塚市民図書館,大阪府貝塚市畠中1丁目12番1号,0724-33-7200,597-0072,"135.3598669,34.4390281",https://www.kaizuka-library.osaka.jp/TOSHOW/asp/index.aspx
,貝塚市民図書館移動図書館「ひまわり号」,大阪府貝塚市畠中1丁目12-1,0724-33-7200,597-0072,"135.3598696,34.4390253",https://www.kaizuka-library.osaka.jp/TOSHOW/asp/index.aspx
,河南町立図書館,大阪府南河内郡河南町白木1287-1,0721-93-2500,585-0014,"135.630187,34.490445",https://www.town.kanan.osaka.jp/soshiki/kyoikuiinkaijimukyoku/chuokominkan/gyomuannai/1/1/1643.html
,河南町立図書館大宝分室,大阪府南河内郡河南町大宝1丁目2番4号 大宝公民館内,0721-93-6580,585-0005,"135.6324445,34.5047105",https://www.town.kanan.osaka.jp/soshiki/kyoikuiinkaijimukyoku/chuokominkan/gyomuannai/1/1/1643.html
,柏原市立国分図書館,大阪府柏原市田辺1-3-7,072-975-1212,582-0024,"135.637978,34.5629125",https://www.lics-saas.nexs-service.jp/kashiwara/
,柏原市立柏原図書館,大阪府柏原市上市4-1-27,072-971-0335,582-0007,"135.6258228,34.5870045",https://www.lics-saas.nexs-service.jp/kashiwara/
,交野市立第1児童センターこども図書室,大阪府交野市幾野2-6-1,072-893-1144,576-0054,"135.6802672,34.7945902",https://www.katanotoshokan.jp/
,交野市立倉治図書館,大阪府交野市倉治6-9-20,072-891-1825,576-0051,"135.690023,34.796540",https://www.katanotoshokan.jp/
,交野市立星田会館図書室,大阪府交野市星田3-4-3,072-895-2103,576-0016,"135.6712913,34.7654051",https://www.katanotoshokan.jp/
,交野市立図書館自動車文庫「ブンブン号」,大阪府交野市倉治6-9-20,072-891-1825,576-0051,"135.6900163,34.7965514",https://www.katanotoshokan.jp/
,交野市立青年の家図書室,大阪府交野市私部2-29-1 ,072-893-4881,576-0052,"135.678044,34.785015",https://www.katanotoshokan.jp/
,河内長野市自動車文庫「きく1号」,大阪府河内長野市昭栄町7番1号,0721-52-6933,586-0025,"135.5601928,34.4543292",https://www.city.kawachinagano.lg.jp/site/tosho/
,河内長野市三日市公民館図書室,大阪府河内長野市三日市町288-1,0721-62-6155,586-0048,"135.5672121,34.4388032",https://www.city.kawachinagano.lg.jp/site/tosho/
,河内長野市加賀田公民館図書室,大阪府河内長野市加賀田617-4,0721-62-2116,586-0071,"135.5641263,34.4231106",https://www.city.kawachinagano.lg.jp/site/tosho/
,河内長野市千代田公民館図書室,大阪府河内長野市木戸町369-3,0721-55-1125,586-0001,"135.567027,34.466923",https://www.city.kawachinagano.lg.jp/site/tosho/
,河内長野市南花台公民館図書室,大阪府河内長野市南花台8-4-1,0721-63-1131,586-0077,"135.5622209,34.4345065",https://www.city.kawachinagano.lg.jp/site/tosho/
,河内長野市立図書館,大阪府河内長野市昭栄町7番1号,0721-52-6933,586-0025,"135.560429,34.454380",https://www.city.kawachinagano.lg.jp/site/tosho/
,河内長野市天見公民館図書室,大阪府河内長野市岩瀬1244,0721-63-4074,586-0061,"135.5919653,34.4124368",https://www.city.kawachinagano.lg.jp/site/tosho/
,河内長野市天野公民館図書室,大阪府河内長野市天野町1520-5,0721-55-6191,586-0086,"135.5353733,34.4379888",https://www.city.kawachinagano.lg.jp/site/tosho/
,河内長野市川上公民館図書室,大阪府河内長野市寺元501,0721-65-1612,586-0053,"135.5984285,34.4354177",https://www.city.kawachinagano.lg.jp/site/tosho/
,河内長野市高向公民館図書室,大阪府河内長野市高向515-3,0721-54-4548,586-0036,"135.5510163,34.4384586",https://www.city.kawachinagano.lg.jp/site/tosho/
,岸和田市立移動図書館「なかよし号」,大阪府岸和田市岸城町1番18号,072-422-2142,596-0073,"135.3742261,34.4592538",https://www.city.kishiwada.osaka.jp/site/toshokan/
,岸和田市立八木図書館,大阪府岸和田市池尻町339-2 八木市民センター内,072-443-6849,596-0813,"135.412651,34.462985",https://www.city.kishiwada.osaka.jp/site/toshokan/
,岸和田市女性センター図書室,大阪府岸和田市加守町4丁目28番25号,072-441-2535,596-0042,"135.3923102,34.4710863",https://www.city.kishiwada.osaka.jp/site/toshokan/
,岸和田市立山直図書館,大阪府岸和田市三田町715-1 山直市民センター内,072-441-7575,596-0808,"135.4305958,34.4520311",https://www.city.kishiwada.osaka.jp/site/toshokan/
,岸和田市立旭図書館,大阪府岸和田市土生町4丁目3-1 リハーブ3階 東岸和田市民センター内,072-428-6200,596-0825,"135.385917,34.4486638",https://www.city.kishiwada.osaka.jp/site/toshokan/
,岸和田市立春木図書館,大阪府岸和田市春木若松町21-1 春木市民センター内,072-436-0679,596-0006,"135.392421,34.478736",https://www.city.kishiwada.osaka.jp/site/toshokan/
,岸和田市立図書館,大阪府岸和田市岸城町1番18号,072-422-2142,596-0073,"135.3742261,34.4592538",https://www.city.kishiwada.osaka.jp/site/toshokan/
,岸和田市立桜台図書館,大阪府岸和田市下松町4丁目17-1 桜台市民センター内,072-428-9230,596-0823,"135.394917,34.4537786",https://www.city.kishiwada.osaka.jp/site/toshokan/
,熊取町立熊取図書館,大阪府泉南郡熊取町野田4丁目2714-1,072-451-2828,590-0451,"135.3575736,34.4021907",http://www.town.kumatori.lg.jp/shisetsu/tosyokan/
,松原市民三宅図書館,大阪府松原市三宅中3-17-15,072-332-8560,580-0046,"135.556463,34.588401",http://www.trc-matsubara.jp/
,松原市民天美図書館,大阪府松原市天美東7-85,072-336-7300,580-0032,"135.5347418,34.5885599",http://www.trc-matsubara.jp/
,松原市民天美西図書館,大阪府松原市天美西1-18-28,072-330-0551,580-0034,"135.5294483,34.5884084",http://www.trc-matsubara.jp/
,松原市民恵我図書館,大阪府松原市一津屋1-10-15,072-333-2020,580-0003,"135.570060,34.577285",http://www.trc-matsubara.jp/
,松原市民情報ライブラリー,大阪府松原市上田7-11-19,072-335-4000,580-0016,"135.559283,34.5723687",http://www.trc-matsubara.jp/
,松原市民松原図書館「読書の森」,大阪府松原市田井城3-1-46,072-334-8060,580-0044,"135.5482023,34.5772362",http://www.trc-matsubara.jp/
,松原市自動車図書館,大阪府松原市田井城1-2-23,072-334-8060,580-0044,"135.5489642,34.5774375",http://www.trc-matsubara.jp/
,泉大津市立図書館,大阪府泉大津市旭町20-1 アルザタウン泉大津4階,0725-58-6856,595-0025,"135.4074509,34.5025513",https://sheeplaizumiotsutosyokan.osaka.jp/
,箕面市立中央図書館,大阪府箕面市箕面5-11-23,072-722-4580,562-0001,"135.471622,34.830885",http://www.city.minoh.lg.jp/library/
,箕面市らいとぴあ２１図書コーナー,大阪府箕面市萱野1-19-4,072-722-7195,562-0014,"135.483750,34.830891",http://www.city.minoh.lg.jp/library/
,箕面市立小野原図書館,大阪府箕面市小野原西5-2-36 多文化交流センター1階,072-749-5176,562-0032,"135.510971,34.830804",http://www.city.minoh.lg.jp/library/
,箕面市立東図書館,大阪府箕面市粟生間谷西3-1-3,072-729-1321,562-0023,"135.512007,34.844168",http://www.city.minoh.lg.jp/library/
,箕面市立桜ヶ丘図書館,大阪府箕面市桜ヶ丘4-19-3,072-724-8707,562-0046,"135.453663,34.822823",http://www.city.minoh.lg.jp/library/
,箕面市立船場図書館,大阪府箕面市船場東3-10-1,072-727-1033,562-0035,"135.4917577,34.821334",https://www.library.osaka-u.ac.jp/minohsemba/
,箕面市立西南図書館,大阪府箕面市半町4-6-39,072-725-1022,562-0044,"135.45755,34.8115289",http://www.city.minoh.lg.jp/library/
,守口市中部エリアコミュニティセンター図書室,大阪府守口市京阪本通2丁目14-1,06-6991-0318,570-0083,"135.5630954,34.7378841",https://moriguchi-comm.jp/chubuarea/
,守口市八雲東コミュニティセンター図書室,大阪府守口市八雲東町2丁目50-12,06-6906-6300,570-0021,"135.5777883,34.7456304",https://moriguchi-comm.jp/yagumohigashi/
,守口市北部コミュニティセンター図書室,大阪府守口市淀江町6-3,06-6906-5400,570-0004,"135.568195,34.749921",https://moriguchi-comm.jp/hokubu/
,守口市南部エリアコミュニティセンター図書室,大阪府守口市寺方元町4丁目7番6号,06-6993-1341,570-0047,"135.5724838,34.7242162",https://www.moriguchi-cc.jp/nambu
,守口市立図書館,大阪府守口市大日町2-14-10,06-6905-3921,570-0003,"135.577752,34.7517962",https://www.lics-saas.nexs-service.jp/moriguchi/index.html
,守口市庭窪コミュニティセンター図書室,大阪府守口市佐太中町1丁目6-45,06-6902-0580,570-0002,"135.580871,34.7557347",https://www.moriguchi-eastcommu.jp/niwakubo/
,守口文化センター「エナジーホール」図書室,大阪府守口市河原町8-22,06-6992-1276,570-0038,"135.5677506,34.7360788",https://moriguchi-bunkacenter.com/library/
,守口市東部エリアコミュニティセンター図書室,大阪府守口市藤田町1丁目54-11,06-6902-5500,570-0014,"135.5960532,34.7492108",https://www.moriguchi-eastcommu.jp/tobu/
,守口市西部コミュニティセンター図書室,大阪府守口市文園町8番8号,06-6997-4120,570-0074,"135.556924,34.7297211",https://www.moriguchi-cc.jp/seibu
,守口市錦コミュニティセンター図書室,大阪府守口市菊水通4丁目20番10号,06-6991-1548,570-0032,"135.578868,34.724867",https://www.moriguchi-cc.jp/nishiki
,寝屋川市立中央図書館,大阪府寝屋川市早子町23-1-401 アドバンスねやがわ1号館4F,072-800-3711,572-0837,"135.6218967,34.7639806",https://www.city.neyagawa.osaka.jp/organization_list/kyoikuiinkaijimukyoku/tyuutosyo/tosyotop/index.html
,寝屋川市立図書館南分室,大阪府寝屋川市下木田町16-50 南コミュニティセンター内,072-838-0141 [中央図書館],572-0823,"135.621613,34.748633",https://www.city.neyagawa.osaka.jp/organization_list/kyoikuiinkaijimukyoku/tyuutosyo/tosyotop/index.html
,大阪市立都島図書館,大阪府大阪市都島区中野町2-16-25 3階,06-6354-3229,534-0027,"135.5279183,34.7009098",https://www.oml.city.osaka.lg.jp/?page_id=156
,寝屋川市立図書館東北分室,大阪府寝屋川市成田町3-3 東北コミュニティセンター内,072-838-0141 [中央図書館],572-0004,"135.639769,34.777280",https://www.city.neyagawa.osaka.jp/organization_list/kyoikuiinkaijimukyoku/tyuutosyo/tosyotop/index.html
,寝屋川市立東図書館,大阪府寝屋川市秦町41-1 市民会館3F,072-823-0661,572-0848,"135.6314962,34.7629571",https://www.city.neyagawa.osaka.jp/organization_list/kyoikuiinkaijimukyoku/tyuutosyo/tosyotop/index.html
,寝屋川市立移動図書館「おきがる号」,大阪府寝屋川市池田西町28-22 ,072-838-0141,572-0036,"135.6113623,34.7704309",https://www.city.neyagawa.osaka.jp/organization_list/kyoikuiinkaijimukyoku/tyuutosyo/tosyotop/index.html
,寝屋川市立図書館西分室,大阪府寝屋川市池田新町3-23,072-800-3711 [中央図書館],572-0038,"135.6122161,34.7739401",https://www.city.neyagawa.osaka.jp/organization_list/kyoikuiinkaijimukyoku/tyuutosyo/tosyotop/index.html
,寝屋川市立図書館西北分室,大阪府寝屋川市松屋町20-30 西北コミュニティセンター内,072-838-0141 [中央図書館],572-0086,"135.625578,34.785233",https://www.city.neyagawa.osaka.jp/organization_list/kyoikuiinkaijimukyoku/tyuutosyo/tosyotop/index.html
,寝屋川市立図書館西南分室,大阪府寝屋川市上神田1-30-1 西南コミュニティセンター内,072-838-0141 [中央図書館],572-0052,"135.612145,34.756566",https://www.city.neyagawa.osaka.jp/organization_list/kyoikuiinkaijimukyoku/tyuutosyo/tosyotop/index.html
,寝屋川市立寝屋川市駅前図書館,大阪府寝屋川市早子町23番2 アドバンスねやがわ二号館3F,072-811-5544,572-0837,"135.6211584,34.7635032",https://www.city.neyagawa.osaka.jp/organization_list/kyoikuiinkaijimukyoku/tyuutosyo/tosyotop/index.html
,能勢町生涯学習センター図書室,大阪府豊能郡能勢町大里178-2,072-734-3365,563-0352,"135.4133993,34.9717838",http://www.town.nose.osaka.jp/soshiki/syougaigakusyuuka/shogaikyoiku/shogaigakushu/1f/2513.html
,大阪市立自動車文庫,大阪府大阪市西区北堀江4-3-2,06-6539-3305,550-0014,"135.4859838,34.6739536",https://www.oml.city.osaka.lg.jp/?page_id=135
,大阪市立中央図書館,大阪府大阪市西区北堀江4-3-2,06-6539-3300,550-0014,"135.486381,34.673879",https://www.oml.city.osaka.lg.jp/
,大阪市立住之江図書館,大阪府大阪市住之江区南加賀屋3-1-20 3階,06-6683-2788,559-0015,"135.4749674,34.6064447",https://www.oml.city.osaka.lg.jp/?page_id=142
,大阪市立住吉図書館,大阪府大阪市住吉区南住吉3-15-57,06-6606-4946,558-0041,"135.500717,34.604852",https://www.oml.city.osaka.lg.jp/?page_id=143
,大阪市立北図書館,大阪府大阪市北区本庄東3-8-2 3階,06-6375-0410,531-0074,"135.508517,34.7158298",https://www.oml.city.osaka.lg.jp/?page_id=398
,大阪市立城東図書館,大阪府大阪市城東区中央3丁目5-45,06-6933-0350,536-0005,"135.5448759,34.7032023",http://www.oml.city.osaka.lg.jp/?page_id=141
,大阪市立大正図書館,大阪府大阪市大正区千島2-6-15,06-6552-1116,551-0003,"135.472182,34.650889",http://www.oml.city.osaka.lg.jp/?page_id=144
,大阪市立天王寺図書館,大阪府大阪市天王寺区上之宮町4-47,06-6771-2840,543-0037,"135.5220948,34.6615163",http://www.oml.city.osaka.lg.jp/?page_id=146
,大阪市立島之内図書館,大阪府大阪市中央区島之内2-12-31 3階,06-6211-3645,542-0082,"135.5079347,34.6716151",http://www.oml.city.osaka.lg.jp/?page_id=140
,大阪市立平野図書館,大阪府大阪市平野区平野東1-8-2,06-6793-0881,547-0043,"135.5593814,34.6243854",https://www.oml.city.osaka.lg.jp/?page_id=153
,大阪市立旭図書館,大阪府大阪市旭区中宮1-11-14,06-6955-0307,535-0003,"135.542576,34.721094",https://www.oml.city.osaka.lg.jp/?page_id=136
,大阪市立東住吉図書館,大阪府大阪市東住吉区東田辺2-11-28 3階,06-6699-7000,546-0032,"135.5275618,34.6205824",https://www.oml.city.osaka.lg.jp/?page_id=150
,大阪市立東成図書館,大阪府大阪市東成区大今里西3-2-17 東成区民センター8階,06-6972-0727,537-0014,"135.5414095,34.66808",http://www.oml.city.osaka.lg.jp/?page_id=151
,大阪市立東淀川図書館,大阪府大阪市東淀川区東淡路1-4-53 3階,06-6323-5476,533-0023,"135.5197799,34.7338975",http://www.oml.city.osaka.lg.jp/?page_id=152
,大阪市立此花図書館,大阪府大阪市此花区四貫島1-1-18 2階,06-6463-3463,554-0014,"135.457111,34.6859125",https://www.oml.city.osaka.lg.jp/?page_id=139
,大阪市立浪速図書館,大阪府大阪市浪速区敷津西1-5-23,06-6632-4946,556-0015,"135.4960556,34.6585833",http://www.oml.city.osaka.lg.jp/?page_id=147
,大阪市立淀川図書館,大阪府大阪市淀川区新北野1-10-14,06-6305-2346,532-0025,"135.481234,34.716085",http://www.oml.city.osaka.lg.jp/?page_id=157
,大阪市立港図書館,大阪府大阪市港区弁天2-1-5 3階,06-6576-2346,552-0007,"135.4588559,34.6677397",http://www.oml.city.osaka.lg.jp/?page_id=155
,大阪市立生野図書館,大阪府大阪市生野区勝山南4-7-11 3階,06-6717-2381,544-0021,"135.539774,34.6531206",http://www.oml.city.osaka.lg.jp/?page_id=138
